id,type,title,question,category_path,source_url,decision_kind,decision_year,decision_no,content_hash
diyk_faq_0193c42d-6536-7ca8-7572-f5199ce0346d_790f34adc2,faq,Zekât kimlere farzdır? Geçerli olmasının şartları nelerdir?,Zekât kimlere farzdır? Geçerli olmasının şartları nelerdir?,ZEKAT ve SADAKA > Zekâta Tâbi Mallar > Zekât kimlere farzdır? Geçerli olmasının şartları nelerdir?,https://kurul.diyanet.gov.tr/soru/zekat-kimlere-farzdir-gecerli-olmasinin-sartlari-nelerdir/0193c42d-6536-7ca8-7572-f5199ce0346d,,,,sha256:e20234541eee8317acfab7e1cab77d8863ad9beb04c6a6b9538e02ad6b34bf47
diyk_faq_0193c42d-654c-7cba-774c-ff352b73a3bf_df78a02b55,faq,Havaic-i asliyye (temel ihtiyaçlar) nelerdir?,Havaic-i asliyye (temel ihtiyaçlar) nelerdir?,ZEKAT ve SADAKA > Zekâta Tâbi Mallar > Havaic-i asliyye (temel ihtiyaçlar) nelerdir?,https://kurul.diyanet.gov.tr/soru/havaic-i-asliyye-temel-ihtiyaclar-nelerdir/0193c42d-654c-7cba-774c-ff352b73a3bf,,,,sha256:6dc71f18e6a1a15fb49897c522f83d7b4c06acf0c7d98626d1a06c7c1cc9e6cb
diyk_faq_0193c42d-65f7-72b4-634c-35750c38a3a9_76c8c9ed7b,faq,Ticaret malının zekâtı nasıl hesaplanır?,Ticaret malının zekâtı nasıl hesaplanır?,ZEKAT ve SADAKA > Zekâta Tâbi Mallar > Ticaret malının zekâtı nasıl hesaplanır?,https://kurul.diyanet.gov.tr/soru/ticaret-malinin-zekati-nasil-hesaplanir/0193c42d-65f7-72b4-634c-35750c38a3a9,,,,sha256:3afa7c2466f99df85712640c7ff8a7c397b955ae1a56e4f0daacbbf0045da889
diyk_faq_0193c42d-666b-7dcd-1522-591d813db3d2_1140c12805,faq,"Kadınların, ziynet eşyasından zekât vermeleri gerekir mi?","Kadınların, ziynet eşyasından zekât vermeleri gerekir mi?","ZEKAT ve SADAKA > Zekâta Tâbi Mallar > Kadınların, ziynet eşyasından zekât vermeleri gerekir mi?",https://kurul.diyanet.gov.tr/soru/kadinlarin-ziynet-esyasindan-zekat-vermeleri-gerekir-mi/0193c42d-666b-7dcd-1522-591d813db3d2,,,,sha256:7ab9fef2dc95ea66a803dee64dfe1ef6046ab258ce3f7ae23f1a74aac237b282
diyk_faq_0193c42d-66d0-7c29-f99b-43d3af9b5ffe_db83cf8859,faq,Hisse/pay senetlerinin zekâtı nasıl hesap edilir?,Hisse/pay senetlerinin zekâtı nasıl hesap edilir?,ZEKAT ve SADAKA > Zekâta Tâbi Mallar > Hisse/pay senetlerinin zekâtı nasıl hesap edilir?,https://kurul.diyanet.gov.tr/soru/hissepay-senetlerinin-zekati-nasil-hesap-edilir/0193c42d-66d0-7c29-f99b-43d3af9b5ffe,,,,sha256:26914aa8c132db9e41909b196817396e5db77c3240649b0afcc35a70707f2913
diyk_faq_0193c42d-67e5-7760-d269-8ccb0d6e642f_a2b0726931,faq,Gayrimeşru yolla sağlanan kazançtan zekât vermek gerekir mi?,Gayrimeşru yolla sağlanan kazançtan zekât vermek gerekir mi?,ZEKAT ve SADAKA > Zekâta Tâbi Mallar > Gayrimeşru yolla sağlanan kazançtan zekât vermek gerekir mi?,https://kurul.diyanet.gov.tr/soru/gayrimesru-yolla-saglanan-kazanctan-zekat-vermek-gerekir-mi/0193c42d-67e5-7760-d269-8ccb0d6e642f,,,,sha256:d2305b6b3eb36102c11bedc26c4d7f8437b24418c01f80062f47ce091cc0b30b
diyk_faq_0193c42d-69be-7bb3-363d-e9a6821c95da_bc59e20018,faq,Sivil toplum kuruluşlarına zekât verilebilir mi?,Sivil toplum kuruluşlarına zekât verilebilir mi?,ZEKAT ve SADAKA > Zekâtın Verileceği Yerler > Sivil toplum kuruluşlarına zekât verilebilir mi?,https://kurul.diyanet.gov.tr/soru/sivil-toplum-kuruluslarina-zekat-verilebilir-mi/0193c42d-69be-7bb3-363d-e9a6821c95da,,,,sha256:f05823eb59f49a709d22c508d88e6c30ca4cba202ba2da9856fd59da12bd0ed1
diyk_faq_0193c42d-6a55-73aa-b2c0-761c0496b8b7_f60a5e0fb0,faq,"Fakir kiracıdan alınacak kira bedeli, alınmayarak zekâta sayılabilir mi?","Fakir kiracıdan alınacak kira bedeli, alınmayarak zekâta sayılabilir mi?","ZEKAT ve SADAKA > Zekâtın Verileceği Yerler > Fakir kiracıdan alınacak kira bedeli, alınmayarak zekâta sayılabilir mi?",https://kurul.diyanet.gov.tr/soru/fakir-kiracidan-alinacak-kira-bedeli-alinmayarak-zekata-sayilabilir-mi/0193c42d-6a55-73aa-b2c0-761c0496b8b7,,,,sha256:abda2aa7f19f082321882e42b127c5ae37626779eb31da7d83388f5bfad954d0
diyk_faq_0193c42d-6af1-76fd-2e54-950130801e4e_f7b75e06dc,faq,Kimler fıtır sadakası vermekle yükümlüdür?,Kimler fıtır sadakası vermekle yükümlüdür?,ZEKAT ve SADAKA > Sadaka-i Fıtır (Fitre) > Kimler fıtır sadakası vermekle yükümlüdür?,https://kurul.diyanet.gov.tr/soru/kimler-fitir-sadakasi-vermekle-yukumludur/0193c42d-6af1-76fd-2e54-950130801e4e,,,,sha256:55aec4725a49299cccf5b4dc1540515291de21a2496b9c84ec6633a67a9f59b2
diyk_faq_0193c42d-a137-7175-0c7a-1be3667bf32c_ab12829826,faq,Müslüman'ın afetlere bakışı nasıl olmalıdır?,Müslüman'ın afetlere bakışı nasıl olmalıdır?,İSLAM İNANCI > Kaza ve Kadere İman > Müslüman'ın afetlere bakışı nasıl olmalıdır?,https://kurul.diyanet.gov.tr/soru/muslumanin-afetlere-bakisi-nasil-olmalidir/0193c42d-a137-7175-0c7a-1be3667bf32c,,,,sha256:1416f5d72611ea547e37eb8b9ef9a4b991c76c78bdfa87b75eb6f37957dd281c
